team,player_id,name,role,rating,priority
1,3e016c8e-d913-429b-ab3d-8d2267852096,Zakmen#21114,T,900.0,
1,50095ff2-fa58-4324-bfe5-2584ccf96a86,Shelestumana#2632,D,700.0,
1,97deec40-a862-41ac-9b6a-86fd75f4722b,LookAtMyDuck#2249,D,1600.0,1.0
1,f066478d-59fc-46da-82c8-d0b57166e380,ReinLu#2607,S,500.0,
1,1dea12ab-2149-41e7-9b5b-6cd7d23a1bcb,dasha21cm#2481,S,1200.0,1.0
2,126dde31-3dae-4e73-b082-3f9d1f7f2d79,Mioto#21199,T,1606.0,1.0
2,04c069aa-d2e5-4f84-b720-00d1f5b27fe9,DOORSTUCK#21759,D,1508.0,1.0
2,2b70c4e6-5404-4a12-83ba-8d703093a253,thesevenast#2234,D,600.0,1.0
2,66362678-8ee4-40d8-8f21-c37baee2cfb1,likakisss#2472,S,600.0,
2,aaadb3a8-91ba-4944-8d34-8ca21821fa8b,Larwyd#2215,S,1200.0,1.0
3,470c8660-7fcf-4953-b69b-2f89da21503d,Ǩõŋđëŗǃ#2507,T,1600.0,1.0
3,5126e9f1-6067-4f90-a5b9-bcbd5b9477d4,HzHz#2274,D,1200.0,1.0
3,8738e015-86b4-472d-a13b-8a51974a22c2,Juicy#21913,D,500.0,1.0
3,2d489ae3-038f-4e1f-aa36-de708f2fa442,UgandO#2383,S,900.0,
3,c2aa73bf-e582-4d18-a5d7-26d54f25a090,Scrætch#2459,S,1100.0,1.0
4,a7336716-9712-4f9c-90f9-dd25340521b6,ХитрыйСтраус#239767,T,800.0,
4,10863965-f569-4c4a-bd21-1a997c72bb3b,KingOfAir#21611,D,1200.0,1.0
4,30d47d8d-7279-4bd7-b53e-0e330229aa3b,Mars#23130,D,1100.0,1.0
4,8d84eb5f-f299-428e-ae4b-37e7f0b3007c,Nova#28747,S,1000.0,1.0
4,10057bc2-8e5a-41a3-80dc-a8fe11076650,Darius#24393,S,900.0,1.0
5,8432e04f-2a9d-432e-b311-0f83235ba00d,Kars#21831,T,1400.0,1.0
5,c58be7f9-5e2e-4f5f-92ba-2567bf030728,TheCre1n#2286,D,1100.0,1.0
5,1b2ed0fe-39f0-4365-bd61-f7586bdd1701,Warrkan#1755,D,1000.0,1.0
5,143e4de5-357e-40a1-8fbd-b4562456c127,Alicelynx#21445,S,900.0,1.0
5,acf08ebe-b1aa-4fe9-a4ff-12a409a69d61,JamStrat#2858,S,800.0,1.0
6,4e209e03-6eb6-4157-9c01-1b5610d98070,Walarus#2151,T,1300.0,1.0
6,1b8157fa-154c-4c29-a58d-3a7f7f15e482,rizi#21666,D,900.0,1.0
6,660f6ca8-891f-4c77-ad68-39b83bd40b6c,Steud#2665,D,900.0,1.0
6,33d0142e-e043-4d27-a758-d123dd689348,Askhay#21578,S,800.0,1.0
6,335c024f-dada-4646-84c3-91beeedd2dac,Neyz1#2888,S,800.0,1.0
7,c3a11d33-f655-40c2-b665-c64eb18140ad,Oikawa#21544,T,1200.0,1.0
7,925591f0-d4d0-4643-bed2-42bff150dddc,Freestylers#2618,D,800.0,1.0
7,fb397e80-e73f-44d5-af24-9473f9168881,Meowcy#2189,D,800.0,1.0
7,8803f9b1-7a01-4b5e-9a0e-6836b60d9fee,Czarz#2818,S,800.0,1.0
7,a04e9d3f-1168-4676-b890-2959b4788105,ooopexxx#2400,S,600.0,1.0
8,d7f1f0e8-9e8c-43ba-94b6-578464832325,Whopper#21795,T,1200.0,1.0
8,5994faa6-599c-405e-b80e-dffe1feebe27,Magistr#21158,D,2009.0,
8,88264a47-0ff1-4a01-a32c-42afe77ed756,kentawr#2996,D,700.0,1.0
8,dfd81a5e-01f5-444c-b03d-d535484f2d66,SaintDeimos#2577,S,600.0,1.0
8,5e4db7ba-b93a-44bc-9af8-6d39af367186,Korsner#2805,S,500.0,1.0
9,0258c4cd-d449-43fa-9872-095f9ef87d1a,AnyCost#2261,T,1000.0,1.0
9,dc36b69e-d3cd-417c-919c-346bb94a5a0c,katan#21331,D,600.0,1.0
9,ef2e28ce-a953-46a3-8739-f42b9bd1738b,Qurare#2763,D,2007.0,
9,9e7be9c5-8639-4bff-ae2e-88ab4f8021b4,Михан#21694,S,500.0,1.0
9,e9821767-5d77-44d0-b6a1-5ce8bdc25739,Astis#2783,S,405.0,1.0
10,efd7a8ec-a58a-405d-a8c5-96b03287659f,VipèreSombre#21773,T,900.0,1.0
10,227fdd16-a273-4186-8d88-5312db3b3ab4,Samrisel#2641,D,1605.0,
10,5cf3f625-8a55-4df7-b8bd-90ca84126e9d,VicExtreme#2402,D,1300.0,1.0
10,1ebbc426-cbbc-4bfd-8dd3-4e20aa8975f6,Kenny#27465,S,800.0,
10,1574a63c-173f-4a55-814c-cf5a60260690,vles#21994,S,300.0,
11,8274ce4b-6f79-41e0-97d9-14c8ae1ba86c,Zafkiel#21174,T,800.0,1.0
11,8dfaf81f-ecf9-470a-85a8-0a5713e298d3,Саша#25209,D,500.0,1.0
11,99056ddb-3c97-40a7-8044-bd34e808e79e,Zaza#2496,D,500.0,1.0
11,338dee4b-b236-4166-8714-6fc656623412,Wisparian#2636,S,1801.0,
11,64a9ca3e-4542-4985-a9ac-2ca426968946,Carnivorous#21671,S,1100.0,2.0
12,5acba1c2-7750-4b88-8dfc-cca7e25ad30a,Paradocs#11121,T,700.0,1.0
12,9b818d5c-12f3-4093-8f43-414bc7f2560c,litnik#21214,D,2007.0,
12,8738e015-86b4-472d-a13b-8a51974a22c2,Juicy#21913,D,500.0,1.0
12,400597f1-9bce-4100-ab7f-bff76d16f393,Frieza666#2313,S,1100.0,2.0
12,66362678-8ee4-40d8-8f21-c37baee2cfb1,likakisss#2472,S,600.0,
13,7f96a7a8-62f2-402b-9d87-3c73485181a8,Анф#21511,T,700.0,1.0
13,3c7eef5a-3b01-4d5a-bdf0-5d25946ce535,Azat#21695,D,500.0,1.0
13,9a8b16b9-5eaf-41ab-8561-f251e2c5090b,MrBeast#11155,D,300.0,1.0
13,78f63900-0d8e-4b82-800d-897081f45632,MAKI#23885,S,1200.0,1.0
13,4a296508-c23f-482e-b231-4b5bd8282c58,BaseAndCo#2842,S,500.0,2.0
14,c3f4e36b-d592-4908-85da-1976ce1b3624,Hidan#21959,T,600.0,1.0
14,2bc33ca6-1dd8-460d-afac-f4c5b86be03e,VictoryBond#2179,D,300.0,1.0
14,afab393b-9ca0-47d5-90a2-92283d04b318,Mota#21323,D,500.0,
14,d53d96a9-6aa9-4822-bbd4-68c7353286e7,spark#22120,S,200.0,2.0
14,910b51c4-84cc-4819-b450-3eba39e017e3,rybr0n#2291,S,2002.0,
15,513e8e3b-2329-448d-b0ef-e4e88b6f68a0,CheGuevara#21350,T,600.0,1.0
15,e55974e7-a160-4083-8947-281b781bffd7,POWAH#21432,D,900.0,
15,29e4c00d-89a2-4c73-a43e-8e32026d3950,DiVine#21199,D,1100.0,
15,9a8b16b9-5eaf-41ab-8561-f251e2c5090b,MrBeast#11155,S,200.0,2.0
15,126dde31-3dae-4e73-b082-3f9d1f7f2d79,Mioto#21199,S,1802.0,
16,63cfa391-e6e0-46e1-aa16-a84f3817940f,Flank#21295,T,1100.0,
16,521f73ec-1d50-4b69-9d5f-bd3513f99d30,TheArtem#21991,D,500.0,1.0
16,ff8378de-550a-4943-8685-1bb2fdda7a70,ByeBye#21347,D,2001.0,
16,143e4de5-357e-40a1-8fbd-b4562456c127,Alicelynx#21445,S,900.0,1.0
16,1f9645c2-075f-448a-a43c-453617741bd8,Ducky#21942,S,1800.0,
17,22c4a7ce-2603-4dba-804d-0b48e2861389,Kovy#21999,T,500.0,1.0
17,50095ff2-fa58-4324-bfe5-2584ccf96a86,Shelestumana#2632,D,700.0,
17,8eaf969e-dcb5-43fe-9e3f-6553cb03942d,TeYzee#2561,D,1712.0,
17,4e209e03-6eb6-4157-9c01-1b5610d98070,Walarus#2151,S,1606.0,
17,e9821767-5d77-44d0-b6a1-5ce8bdc25739,Astis#2783,S,405.0,1.0
18,27f567a9-e1a1-4da7-ae60-623701a56e3d,Dikerik#2659,T,500.0,1.0
18,536ddec0-8f99-4610-bdaf-5aa98a71ec31,ИграВкоторой#2695,D,1607.0,
18,e55974e7-a160-4083-8947-281b781bffd7,POWAH#21432,D,900.0,
18,5cf3f625-8a55-4df7-b8bd-90ca84126e9d,VicExtreme#2402,S,1504.0,
18,fb397e80-e73f-44d5-af24-9473f9168881,Meowcy#2189,S,1300.0,
19,7c5b7fe6-e6fe-4abe-b29e-cdcaec0015ec,ClayPal#2632,T,400.0,1.0
19,92898f39-3b8a-41eb-a9d6-2feb901f1f12,Shadow#23694,D,600.0,1.0
19,382fa40a-0e47-43b5-9577-8eeec1286308,Tref#2420,D,1603.0,
19,ea6f1dfb-f044-4471-b67b-0847c53f2f48,badtomato#21596,S,700.0,
19,f6e0489e-5848-4b2e-a915-76c49bf562e2,EvilMoon#21452,S,1200.0,
20,29fff487-7eca-45d6-8a59-5de600a7877e,Quasar#22654,T,400.0,1.0
20,03ceeb51-12cb-49ab-8fe9-d3c73a497674,jimouse#2300,D,600.0,1.0
20,d13c9c25-9154-48bc-b1fc-5c8661050bcf,DemonDimon#2279,D,1600.0,
20,bf1dd849-d6cc-412d-83f9-6240cccef3fa,marmeladka#21557,S,1100.0,
20,f7e00256-ae54-432d-8c27-fd561ee8c536,EirenaRin#21233,S,1100.0,
21,f066478d-59fc-46da-82c8-d0b57166e380,ReinLu#2607,T,400.0,1.0
21,9ded2405-4f80-439b-a99f-57fe6ac0b494,wxhudd#2112,D,1508.0,
21,67e98694-0450-4aab-881a-6bcbff03d217,CraazzzyyFox#2130,D,1502.0,
21,c58be7f9-5e2e-4f5f-92ba-2567bf030728,TheCre1n#2286,S,1100.0,
21,d5dd096c-181a-4cc2-9997-c5d05a7b6e43,HelloMySweet#2542,S,1100.0,
22,7dbcf607-9935-4282-80e1-1800172033fb,Snofa#21982,T,400.0,1.0
22,b032f643-b82a-4df8-952e-d3746509a573,Xapu3ma#21543,D,1501.0,
22,e70b7b58-e3e8-44f4-9375-7aab7803a930,MeowPoroNyaa#2425,D,1400.0,
22,5acba1c2-7750-4b88-8dfc-cca7e25ad30a,Paradocs#11121,S,1000.0,
22,e393e14d-0fa0-496f-bffb-8b0273556635,ХОПМЕХАНИКА#2957,S,1000.0,
23,0c01eda7-7fc7-4e81-878b-110ddbb8f853,DarkAngel#27153,T,300.0,1.0
23,8d84eb5f-f299-428e-ae4b-37e7f0b3007c,Nova#28747,D,1300.0,
23,d7f1f0e8-9e8c-43ba-94b6-578464832325,Whopper#21795,D,1300.0,
23,0258c4cd-d449-43fa-9872-095f9ef87d1a,AnyCost#2261,S,1000.0,
23,925591f0-d4d0-4643-bed2-42bff150dddc,Freestylers#2618,S,1000.0,
24,e36aa975-f968-4ee7-9b72-e1671e6cdd6b,Augusta#21257,T,300.0,1.0
24,7b6af152-7fe7-4560-8660-aaebb2deb924,RestartGG#2476,D,1300.0,
24,5c4e16ef-8775-46fd-aeaf-d0f7f33588f3,Scorpion#28691,D,1300.0,
24,30d47d8d-7279-4bd7-b53e-0e330229aa3b,Mars#23130,S,1000.0,
24,1b8157fa-154c-4c29-a58d-3a7f7f15e482,rizi#21666,S,1000.0,
25,c4f6b5a2-ebab-49d6-880c-47bd93fb1800,CheRnU9h#2816,T,2020.0,
25,8432e04f-2a9d-432e-b311-0f83235ba00d,Kars#21831,D,1300.0,
25,1492acb7-86ac-4d50-ba2d-02ede54071b3,Rango#21721,D,1200.0,
25,6c0729cc-d4a1-4a6a-a5f5-18925663b38d,Giena#21814,S,1000.0,
25,88264a47-0ff1-4a01-a32c-42afe77ed756,kentawr#2996,S,1000.0,
26,d98232ee-3f38-4e0e-af21-60c0f977651d,Хлороформ#21713,T,1809.0,
26,639b1773-ca75-46ac-8517-54b3382ab390,NeverMore#22278,D,1200.0,
26,5e4db7ba-b93a-44bc-9af8-6d39af367186,Korsner#2805,D,600.0,
26,efd7a8ec-a58a-405d-a8c5-96b03287659f,VipèreSombre#21773,S,1000.0,
26,7ca03c0c-da08-496f-86db-e0f1306ecb23,Froksimo,S,900.0,
27,c33ea6af-5323-407d-b197-7a4178931ea0,zMize#2978,T,2001.0,
27,d1a50966-a3d2-4674-b97c-cc46b24df729,BILLI#22910,D,1200.0,
27,3c7eef5a-3b01-4d5a-bdf0-5d25946ce535,Azat#21695,D,500.0,1.0
27,5ee03b2e-6578-45c0-8d81-3b4ef4246529,Buran#22742,S,900.0,
27,c3f4e36b-d592-4908-85da-1976ce1b3624,Hidan#21959,S,900.0,
28,013db83c-b9a8-4949-8baf-b4cc741789dd,ToR#22245,T,2000.0,
28,4a0304a4-9216-4d32-bec6-cabe57e49dc0,Паныч#2776,D,700.0,
28,470c8660-7fcf-4953-b69b-2f89da21503d,Ǩõŋđëŗǃ#2507,D,1100.0,
28,91d24576-3994-4ad8-bcbd-b4220902b5a6,copilop#2153,S,900.0,
28,7f96a7a8-62f2-402b-9d87-3c73485181a8,Анф#21511,S,900.0,
29,0258c4cd-d449-43fa-9872-095f9ef87d1a,AnyCost#2261,T,1000.0,1.0
29,e3d76274-c73c-4fa0-b91d-b33fb7c54c58,AGKorvin#2101,D,1100.0,
29,3eaf4568-3f39-4827-b6ad-a4a8b6ac8f3e,BratwurstFan#21785,D,1100.0,
29,dc36b69e-d3cd-417c-919c-346bb94a5a0c,katan#21331,S,900.0,
29,2d489ae3-038f-4e1f-aa36-de708f2fa442,UgandO#2383,S,900.0,
30,3e016c8e-d913-429b-ab3d-8d2267852096,Zakmen#21114,T,900.0,
30,c2aa73bf-e582-4d18-a5d7-26d54f25a090,Scrætch#2459,D,1100.0,
30,1dea12ab-2149-41e7-9b5b-6cd7d23a1bcb,dasha21cm#2481,D,1000.0,
30,8274ce4b-6f79-41e0-97d9-14c8ae1ba86c,Zafkiel#21174,S,900.0,2.0
30,1ebbc426-cbbc-4bfd-8dd3-4e20aa8975f6,Kenny#27465,S,800.0,
31,d98232ee-3f38-4e0e-af21-60c0f977651d,Хлороформ#21713,T,1809.0,
31,a3d2bd81-6c80-44b0-842d-d70cc710cf50,КУН1МЕН#2545,D,1000.0,
31,ac7a13c7-d7a7-4a81-9ce7-4f371549fbf0,Bloodghast#2754,D,1000.0,
31,8738e015-86b4-472d-a13b-8a51974a22c2,Juicy#21913,S,800.0,
31,81edfdee-749e-41ca-a30c-412a6a18a311,meresti#21277,S,800.0,
32,1fb03db8-246c-43ec-81fd-d572de650862,Morsik#21687,T,1806.0,
32,4ba66451-a805-460a-906b-9242ca4e19f1,Xanta#21286,D,1000.0,
32,cf1e1faf-50dc-436d-b4a9-3af00f7ede9c,Cookie22#21614,D,900.0,
32,2b70c4e6-5404-4a12-83ba-8d703093a253,thesevenast#2234,S,800.0,
32,ee4b96a2-859d-4ad4-8c84-f2d8a8b512d3,Iceberg#2419,S,700.0,
33,60407005-3b7e-43ab-98a8-6a17e51b4999,Baida#21855,T,1800.0,
33,33d0142e-e043-4d27-a758-d123dd689348,Askhay#21578,D,900.0,
33,8274ce4b-6f79-41e0-97d9-14c8ae1ba86c,Zafkiel#21174,D,900.0,
33,7fa04ce4-0d8d-4535-91e5-345f010b4c11,DeaMoris#2520,S,700.0,
33,03ceeb51-12cb-49ab-8fe9-d3c73a497674,jimouse#2300,S,700.0,
34,a7336716-9712-4f9c-90f9-dd25340521b6,ХитрыйСтраус#239767,T,800.0,
34,e55974e7-a160-4083-8947-281b781bffd7,POWAH#21432,D,900.0,
34,a04e9d3f-1168-4676-b890-2959b4788105,ooopexxx#2400,D,900.0,
34,ea6f1dfb-f044-4471-b67b-0847c53f2f48,badtomato#21596,S,700.0,
34,29fff487-7eca-45d6-8a59-5de600a7877e,Quasar#22654,S,700.0,
35,b5e6fcfe-6b5f-4d9d-a55e-c2ff76c36cc0,Sesnau#2901,T,603.0,
35,cafa681e-4ba8-4450-a0eb-cd3d68fb4e4b,Tolgrn#2248,D,800.0,
35,f5231f72-72d2-4301-82b9-a5638b53581c,EAGLE#22960,D,800.0,
35,9c631b03-2bd8-4234-88c8-f2f4e51969d5,Kisylia#2201,S,900.0,
35,22c4a7ce-2603-4dba-804d-0b48e2861389,Kovy#21999,S,600.0,
36,b34b2469-0876-48e2-9c7e-e41a87e5c47c,Camca#21828,T,500.0,
36,b6aa3d3c-5f80-4e90-b768-98ad403faf65,vac3x#2315,D,1700.0,1.0
36,4b80a7c9-09aa-4f2d-8276-1fb0719c82db,Wokalist#2447,D,700.0,
36,4ba66451-a805-460a-906b-9242ca4e19f1,Xanta#21286,S,1200.0,1.0
36,edfd99f0-e63d-4466-84c8-93f0e86b1f5c,CHEST#21627,S,600.0,
37,1fb03db8-246c-43ec-81fd-d572de650862,Morsik#21687,T,1806.0,
37,4a0304a4-9216-4d32-bec6-cabe57e49dc0,Паныч#2776,D,700.0,
37,ec55d36e-9b6f-4f33-ae49-1d4c5d9be2b1,tsezoya#2729,D,700.0,
37,47da9d2a-309e-409e-8e18-1bf63af56fbe,Pachimuri#2350,S,600.0,
37,66362678-8ee4-40d8-8f21-c37baee2cfb1,likakisss#2472,S,600.0,
38,66a91d86-b4ed-4adc-bd73-64fa6327f63f,illusion#23745,T,1602.0,
38,2f41bc01-4496-4c27-8b6f-08d1f85748e4,Jackson#2180,D,700.0,
38,8432e04f-2a9d-432e-b311-0f83235ba00d,Kars#21831,D,1300.0,
38,3c7eef5a-3b01-4d5a-bdf0-5d25946ce535,Azat#21695,S,600.0,
38,8dfaf81f-ecf9-470a-85a8-0a5713e298d3,Саша#25209,S,530.0,
39,360239c5-4bf8-4a47-8243-dc606087a06e,Retlek0#2473,T,1602.0,
39,7dbcf607-9935-4282-80e1-1800172033fb,Snofa#21982,D,602.0,
39,5e4db7ba-b93a-44bc-9af8-6d39af367186,Korsner#2805,D,600.0,
39,b38cbf18-be9c-482b-8dcd-097cd503e987,Rowdy#21998,S,501.0,
39,2bc33ca6-1dd8-460d-afac-f4c5b86be03e,VictoryBond#2179,S,501.0,
40,b630541c-eef0-4866-9059-5639e72e3176,Hagero#2992,T,1400.0,
40,5b90be23-aee6-4ce3-bb59-85653b0e7fc7,qwerty#2509,D,600.0,
40,9e7be9c5-8639-4bff-ae2e-88ab4f8021b4,Михан#21694,D,600.0,
40,e36aa975-f968-4ee7-9b72-e1671e6cdd6b,Augusta#21257,S,500.0,
40,92898f39-3b8a-41eb-a9d6-2feb901f1f12,Shadow#23694,S,500.0,
41,ad5c7d09-99d7-4841-9cf4-4bc7a84b4459,CryZz#21225,T,1300.0,
41,8803f9b1-7a01-4b5e-9a0e-6836b60d9fee,Czarz#2818,D,600.0,
41,dfd81a5e-01f5-444c-b03d-d535484f2d66,SaintDeimos#2577,D,600.0,
41,1327354f-5bb4-4aab-a91e-652f5553b91f,Ocelot#21795,S,1300.0,1.0
41,0c01eda7-7fc7-4e81-878b-110ddbb8f853,DarkAngel#27153,S,300.0,
